HtoD,DtoH,Kernel,AsyncDtoH,
105.12us,30.944us,28.800us,331.33us,
244.89ms,60.560ms,57.511ms,653.95ms,
486.60ms,121.54ms,114.99ms,1.29743s,
729.63ms,181.74ms,172.49ms,1.95688s,
974.87ms,228.48ms,221.23ms,2.57928s,
1.21605s,285.50ms,250.66ms,3.20310s,
1.45764s,342.68ms,280.81ms,3.82071s,
1.71467s,401.99ms,335.90ms,4.41888s,
1.94352s,456.85ms,340.14ms,5.04450s,
2.18184s,513.85ms,369.58ms,5.66306s,
2.42111s,571.71ms,404.72ms,6.26677s,
2.66300s,628.07ms,431.40ms,6.88601s,
2.93700s,685.18ms,461.16ms,7.74064s,
